Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Argentina,ARG,Internet users (per 100 people),IT.NET.USER.P2,..,0.00299287414623027,0.0295270652905125,0.0437059511392524,0.0862770809737151,0.14195470435477,0.280339881830012,0.830766679676473,3.28448195590463,7.0386830862178,9.78080728532407,10.8821243775325,11.9136965509954,16.0366841054923,17.7205833696065,20.9272021035896,25.9466329403819,28.1126234799907,34,45,51,55.8,59.9,64.7,..
Australia,AUS,Internet users (per 100 people),IT.NET.USER.P2,1.09720389137797,1.76876491254256,1.97461101573426,2.23210125436278,2.75965451333217,3.27524987017728,16.3693583751403,30.8132394396276,40.7837839021856,46.7561156116738,52.6892664310395,..,..,..,63,66,69.45,71.67,74.25,76,79.4876977139029,79,83,84.56,..
Brazil,BRA,Internet users (per 100 people),IT.NET.USER.P2,0.00328817070330394,0.0129462623564468,0.0254982532389746,0.0376727093587832,0.105138167818006,0.450789178949525,0.786079155026595,1.47787495863132,2.03873218351945,2.87068515854108,4.52849486902851,9.14942508560748,13.2075861035303,19.073672274442,21.022747248827,28.1783801797929,30.88,33.83,39.22,40.65,45.69,48.56,51.04,57.6,..
China,CHN,Internet users (per 100 people),IT.NET.USER.P2,..,..,0.000168680270954864,0.0011681145300252,0.00495470950415135,0.0130816917950895,0.0323948609340087,0.168540297316545,0.708187956801324,1.77591320677415,2.63965021485872,4.59570433077551,6.2,7.3,8.52325700269541,10.5231526193851,16,22.6,28.9,34.3,38.3,42.3001174855995,45.8,49.3,..
France,FRA,Internet users (per 100 people),IT.NET.USER.P2,0.140113895433035,0.279049463348641,0.590619383415946,0.899867425301053,1.63794724451239,2.58403397908468,4.25500387171107,6.31977872175207,9.12531788860536,14.3079239430677,26.3259035521688,30.18,36.14,39.15,42.87,46.87,66.09,70.68,71.58,77.28,77.8199989926706,81.44,81.9198,83.75,..
Germany,DEU,Internet users (per 100 people),IT.NET.USER.P2,0.250274153436101,0.435285290207688,0.463635096479496,0.922541043112975,1.8377377536464,3.05480523429391,6.71108747669468,9.87785242805539,20.8459826390268,30.2163466048889,31.650939416316,48.82,55.9,64.73,68.71,72.16,75.16,78,79,82,81.26999953602,82.3499984738392,84.17,86.19,..
India,IND,Internet users (per 100 people),IT.NET.USER.P2,..,0.00011130772730678,0.00021817567673486,0.0010695623867526,0.0262288788137051,0.0463339767355146,0.0707678487089183,0.13902732879964,0.27322427673499,0.527532449930946,0.660146377009928,1.53787558175083,1.68648997063625,1.97613649190559,2.38807499995774,2.80549986534254,3.95,4.38,5.12,7.5,10.07,12.5800609138955,15.1,18,..
Indonesia,IDN,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,0.00105974438244869,0.0261094771945335,0.0566239887373857,0.194910263619177,0.255306646259756,0.444415935985143,0.925563864466858,2.01861385948459,2.13413573295808,2.38701977959476,2.60028587633414,3.60202476259646,4.76481313366657,5.78627472934199,7.91747938492903,6.92,10.92,12.28,14.52,14.94,17.14,..
Italy,ITA,Internet users (per 100 people),IT.NET.USER.P2,0.0350632556032967,0.0700534325551471,0.122462052683735,0.192304619468143,0.524412787470198,1.02328990327724,2.27673783398868,4.5585195653676,14.378410192862,23.1108742441037,27.2221169788811,28.04,29.04,33.24,35,37.99,40.79,44.53,48.83,53.68,54.3899983018814,55.829997993283,58.4593,61.96,..
Japan,JPN,Internet users (per 100 people),IT.NET.USER.P2,0.0404380410357153,0.0966780254215835,0.40127752639435,0.799684291039372,1.59436314822182,4.37298196820763,9.16307714028121,13.4140408820215,21.391290312434,29.9907403589142,38.5320608612719,46.5942011179917,48.4352658899653,62.3939296327259,66.9210661042901,68.6852703213795,74.3,75.4,78,78.21,79.0541135244739,79.4964,89.71,90.58,..
"Korea, Rep.",KOR,Internet users (per 100 people),IT.NET.USER.P2,0.0461244347306385,0.0984043370590207,0.249946522805325,0.311359364299842,0.819686670067246,1.62423719177877,3.60080156399075,6.78181546774092,23.5521944496933,44.7,56.6,59.4,65.5,72.7,73.5,78.1,78.8,81,81.6,83.7,83.7591201534472,84.07,84.77,84.33,..
Mexico,MEX,Internet users (per 100 people),IT.NET.USER.P2,0.00588069493112912,0.0173078098676624,0.0283050415762566,0.0433391667851826,0.102564189852775,0.20040628032987,0.627311539559522,1.26578327821238,1.85743622125093,5.08138415338066,7.0380231165045,11.9,12.9,14.1,17.21,19.52,20.81,21.71,26.34,31.05,37.1762954125184,39.75,43.46,44.39,..
Netherlands,NLD,Internet users (per 100 people),IT.NET.USER.P2,0.53149612838289,1.32000802828883,1.96708773709636,3.25730883098769,6.47315766003377,9.64906914465055,14.0655113980191,22.2438276873626,39.1760072483196,43.984351373138,49.3730621073123,61.29,64.35,68.52,81,83.7,85.82,87.42,89.63,90.72,91.4199957622284,92.859992359525,93.9564,93.17,..
Russian Federation,RUS,Internet users (per 100 people),IT.NET.USER.P2,..,0.000672532173956015,0.0134472378929609,0.053817492719435,0.148151042331137,0.269752929717445,0.4729637629624,0.812744450672325,1.01898461403203,1.97723010897647,2.94436778664985,4.12827181796644,8.29886061553908,12.8593889008473,15.2266731976522,18.0232774617216,24.66,26.83,29,43,49,63.8,67.97,70.52,..
Saudi Arabia,SAU,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,0.0109561335585549,0.0267326514047821,0.0520990308798771,0.101429892697824,0.493585340238987,2.21069180908888,4.6810531658103,6.38470501955932,8.00158289090878,10.2345329969583,12.7050359882849,19.4595543513634,30,36,38,41,47.5,54,60.5,63.7,..
Spain,ESP,Internet users (per 100 people),IT.NET.USER.P2,0.0256861938249363,0.0768454531634007,0.127689667934336,0.280069738383293,0.380800727969136,1.33184740350778,2.8033196254371,4.36189239380101,7.08503967835022,13.6249608089899,18.1487226902932,20.39,39.93,44.01,47.88,50.37,55.11,59.6,62.4,65.8,67.6,69.8099999420024,71.635,76.19,..
Switzerland,CHE,Internet users (per 100 people),IT.NET.USER.P2,1.17995596994298,1.75171332160464,2.16727020325671,2.72000432910163,3.5520072108588,4.54965674817947,15.1,24.8,34,47.1,55.1,61.4,65.1,67.8,70.1,75.7,77.2,79.2,81.3,83.9,85.1930281804854,85.2,86.34,87,..
Turkey,TUR,Internet users (per 100 people),IT.NET.USER.P2,..,..,0.00845773162352282,0.0498691815007811,0.0816912053159931,0.19272493561622,0.473695432121789,0.698805128639542,2.29211768539022,3.761685035075,5.18948146078506,11.38,12.33,14.58,15.46,18.24,28.63,34.37,36.4,39.82,43.065710430925,45.13,46.25,51.04,..
United Kingdom,GBR,Internet users (per 100 people),IT.NET.USER.P2,0.17423092249367,0.260615159497346,0.519762000979751,1.03660916572589,1.89516828396595,4.12365033568833,7.38539895659563,13.6699830956989,21.2936382666372,26.8217543508578,33.4810948744147,56.48,64.82,65.61,70,68.82,75.09,78.39,83.56,85,85.3799985496322,87.4799984242111,89.8441,91.61,..
United States,USA,Internet users (per 100 people),IT.NET.USER.P2,1.16319372626656,1.72420253908365,2.27167329376237,4.862780634624,9.23708829729378,16.4193529600768,21.6164009686742,30.093196588091,35.8487244559914,43.0791626375201,49.0808315896951,58.7854038836952,61.6971171244207,64.7582564759896,67.968052915002,68.9311932699721,75,74,71,71.69,69.7294607619268,79.3,84.2,87.36,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 10/09/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
